Lab 1:    Tweets
Lab 2:    Dice
Lab 3:    Loops
Lab 4:    Tips
Lab 5:    Multiplication Tables
Lab 6:    Class
Lab 7:    Bulls and Cows Exception
Lab 8:    Parse Tree
Lab 9:    Bank
Lab 10:   FLTK Hello World
Lab 11:   Shapes
Lab 12:   Button
Lab 13:   Button Callback
Lab 14:   Txt file
Lab 15:   Command line arguments
Lab 16:   Templates
